Ticker Symbol Given by the Exchange,Security's Percentage of the Total Net Assets,Number of the Security's Shares,Market Value of the Security as of eff_dt,Name of the Security Held
NVDA,19.01998901,1891192,987580462.4,NVIDIA CORP
QCOM,6.719997406,2288988,348704431.9,QUALCOMM INC
NXPI,6.079998016,1983488,315394426.9,N X P SEMICONDUCTORS N V
MU,5.819999695,4015660,301897318.8,MICRON TECHNOLOGY INC
MRVL,5.369998932,5868093,278969141.2,MARVELL TECHNOLOGY GROUP LTD
AMD,5.289997101,2994500,274625595,ADVANCED MICRO DEVICES INC
MCHP,4.779998779,1794837,247884938.1,MICROCHIP TECHNOLOGY INC
AVGO,4.689998627,555550,243247567.5,BROADCOM INC
XLNX,4.63999939,1699866,240990002.8,XILINX INC
LRCX,4.589996338,504973,238483598.7,LAM RESH CORP
ON,4.289997101,6811840,222951523.2,ON SEMICONDUCTOR CORP
INTC,3.839998245,4004542,199506282.4,INTEL CORP
TXN,2.839998245,899600,147651348,TEXAS INSTRUMENTS INC
ENPH,2.839998245,839200,147254424,ENPHASE ENERGY INC
AMAT,2.129999161,1282500,110679750,APPLIED MATERIALS INC
CRUS,2.079999924,1311560,107810232,CIRRUS LOGIC INC
JBL,1.399999619,1705858,72550140.74,JABIL INC
ADI,1.299999237,455296,67260878.08,ANALOG DEVICES INC
OLED,1.179999352,266887,61330632.6,UNIVERSAL DISPLAY CORP
TSM,1.109999657,530300,57823912,TAIWAN SEMICONDUCTOR MFG CO LTD
IIVI,0.959999561,653400,49632264,II VI INC
DIOD,0.909999847,667300,47044650,DIODES INC
AEIS,0.729999542,388464,37669354.08,ADVANCED ENERGY INDUSTRIES INC
MTSI,0.679999828,639800,35214592,MACOM TECHNOLOGY SOLS HLDS INC
TTMI,0.669999599,2524167,34820883.77,TTM TECHNOLOGIES INC
FLEX,0.659999847,1908900,34322022,FLEX LTD
MXL,0.599999905,817731,31229146.89,MAXLINEAR INC
SMTC,0.519999981,377500,27213975,SEMTECH CORP
SYNA,0.489999771,266364,25677489.6,SYNAPTICS INC
SGH,0.4599998,641000,24120830,SMART GLOBAL HOLDINGS INC
AOSL,0.339999914,742296,17547877.44,ALPHA & OMEGA SEMICONDUCTOR LTD
SEDG,0.299999952,49300,15732616,SOLAREDGE TECHNOLOGIES INC
AMBA,0.179999948,101700,9338094,AMBARELLA INC
ASX,0.159999967,1396600,8156144,A S E TECHNOLOGY HLDG CO LTD
