Security's Percentage of the Total Net Assets,Number of the Security's Shares,Market Value of the Security as of eff_dt,Name of the Security Held,Ticker Symbol Given by the Exchange
19.01998901,1891192,987580462.4,NVIDIA CORP,NVDA
6.719997406,2288988,348704431.9,QUALCOMM INC,QCOM
6.079998016,1983488,315394426.9,N X P SEMICONDUCTORS N V,NXPI
5.819999695,4015660,301897318.8,MICRON TECHNOLOGY INC,MU
5.369998932,5868093,278969141.2,MARVELL TECHNOLOGY GROUP LTD,MRVL
5.289997101,2994500,274625595,ADVANCED MICRO DEVICES INC,AMD
4.779998779,1794837,247884938.1,MICROCHIP TECHNOLOGY INC,MCHP
4.689998627,555550,243247567.5,BROADCOM INC,AVGO
4.63999939,1699866,240990002.8,XILINX INC,XLNX
4.589996338,504973,238483598.7,LAM RESH CORP,LRCX
4.289997101,6811840,222951523.2,ON SEMICONDUCTOR CORP,ON
3.839998245,4004542,199506282.4,INTEL CORP,INTC
2.839998245,899600,147651348,TEXAS INSTRUMENTS INC,TXN
2.839998245,839200,147254424,ENPHASE ENERGY INC,ENPH
2.129999161,1282500,110679750,APPLIED MATERIALS INC,AMAT
2.079999924,1311560,107810232,CIRRUS LOGIC INC,CRUS
1.399999619,1705858,72550140.74,JABIL INC,JBL
1.299999237,455296,67260878.08,ANALOG DEVICES INC,ADI
1.209999084,391700,62856099,INPHI CORP,IPHI
1.179999352,266887,61330632.6,UNIVERSAL DISPLAY CORP,OLED
1.109999657,530300,57823912,TAIWAN SEMICONDUCTOR MFG CO LTD,TSM
0.959999561,653400,49632264,II VI INC,IIVI
0.909999847,667300,47044650,DIODES INC,DIOD
0.729999542,388464,37669354.08,ADVANCED ENERGY INDUSTRIES INC,AEIS
0.679999828,639800,35214592,MACOM TECHNOLOGY SOLS HLDS INC,MTSI
0.669999599,2524167,34820883.77,TTM TECHNOLOGIES INC,TTMI
0.659999847,1908900,34322022,FLEX LTD,FLEX
0.599999905,817731,31229146.89,MAXLINEAR INC,MXL
0.519999981,377500,27213975,SEMTECH CORP,SMTC
0.489999771,266364,25677489.6,SYNAPTICS INC,SYNA
0.4599998,641000,24120830,SMART GLOBAL HOLDINGS INC,SGH
0.4599998,323460,24072160.64,Samsung Electronics Co Ltd ORD,005930
0.339999914,742296,17547877.44,ALPHA & OMEGA SEMICONDUCTOR LTD,AOSL
0.329999924,17062327.64,17065740.11,Fidelity Cash Central Fund,LP4020
0.299999952,49300,15732616,SOLAREDGE TECHNOLOGIES INC,SEDG
0.179999948,101700,9338094,AMBARELLA INC,AMBA
0.159999967,1396600,8156144,A S E TECHNOLOGY HLDG CO LTD,ASX
0.079999983,3590000,4071338.66,Saleen Hldg 2.250% 15-Feb-2026,83205Y
