Date,Open,High,Low,Close,Adj Close,Volume
2016-10-04,4.600000,4.670000,4.570000,4.600000,4.600000,521200
2016-10-05,4.640000,4.690000,4.600000,4.640000,4.640000,324800
2016-10-06,4.640000,4.710000,4.550000,4.590000,4.590000,517800
2016-10-07,4.570000,4.670000,4.540000,4.590000,4.590000,408100
2016-10-10,4.580000,4.700000,4.450000,4.650000,4.650000,390100
2016-10-11,4.620000,4.660000,4.410000,4.430000,4.430000,392200
2016-10-12,4.410000,4.550000,4.370000,4.450000,4.450000,375100
2016-10-13,4.430000,4.530000,4.380000,4.410000,4.410000,469200
2016-10-14,4.390000,4.390000,4.070000,4.140000,4.140000,1220700
2016-10-17,4.100000,4.180000,4.070000,4.140000,4.140000,723600
2016-10-18,4.220000,4.230000,4.090000,4.130000,4.130000,480500
2016-10-19,4.170000,4.180000,4.100000,4.160000,4.160000,354300
2016-10-20,4.140000,4.190000,4.080000,4.080000,4.080000,430800
2016-10-21,4.050000,4.120000,4.030000,4.060000,4.060000,376400
2016-10-24,4.080000,4.170000,4.080000,4.100000,4.100000,502900
2016-10-25,4.080000,4.300000,4.080000,4.280000,4.280000,1854300
2016-10-26,4.300000,4.340000,4.210000,4.250000,4.250000,803900
2016-10-27,4.260000,4.270000,4.170000,4.180000,4.180000,318900
2016-10-28,4.190000,4.210000,4.030000,4.050000,4.050000,346900
2016-10-31,4.060000,4.230000,4.020000,4.210000,4.210000,756700
2016-11-01,4.180000,4.260000,4.050000,4.070000,4.070000,582700
2016-11-02,4.100000,4.380000,4.050000,4.330000,4.330000,1285000
2016-11-03,4.360000,4.400000,4.270000,4.280000,4.280000,389500
2016-11-04,4.260000,4.340000,4.240000,4.310000,4.310000,640000
2016-11-07,4.350000,4.390000,4.260000,4.300000,4.300000,670000
2016-11-08,4.280000,4.300000,4.220000,4.230000,4.230000,784400
2016-11-09,4.180000,4.330000,4.100000,4.300000,4.300000,817900
2016-11-10,4.350000,4.370000,4.230000,4.280000,4.280000,790700
2016-11-11,4.300000,4.550000,4.240000,4.540000,4.540000,958200
2016-11-14,4.600000,4.620000,4.510000,4.620000,4.620000,748000
2016-11-15,4.620000,4.660000,4.590000,4.660000,4.660000,407000
2016-11-16,4.660000,4.700000,4.580000,4.610000,4.610000,547600
2016-11-17,4.560000,4.630000,4.510000,4.570000,4.570000,602000
2016-11-18,4.550000,4.600000,4.520000,4.570000,4.570000,517800
2016-11-21,4.700000,4.700000,4.570000,4.620000,4.620000,364600
2016-11-22,4.610000,4.610000,4.430000,4.490000,4.490000,503000
2016-11-23,4.480000,4.600000,4.240000,4.590000,4.590000,389500
2016-11-25,4.560000,4.580000,4.530000,4.540000,4.540000,107300
2016-11-28,4.570000,4.580000,4.430000,4.490000,4.490000,367500
2016-11-29,4.510000,4.550000,4.470000,4.480000,4.480000,171800
2016-11-30,4.470000,4.500000,4.170000,4.230000,4.230000,845600
2016-12-01,4.240000,4.340000,4.220000,4.290000,4.290000,443700
2016-12-02,4.290000,4.320000,4.250000,4.280000,4.280000,190100
2016-12-05,4.290000,4.460000,4.280000,4.430000,4.430000,454000
2016-12-06,4.410000,4.460000,4.360000,4.370000,4.370000,411000
2016-12-07,4.370000,4.560000,4.370000,4.510000,4.510000,400400
2016-12-08,4.510000,4.920000,4.500000,4.830000,4.830000,1113500
2016-12-09,4.830000,4.890000,4.760000,4.880000,4.880000,642900
2016-12-12,4.920000,4.920000,4.720000,4.730000,4.730000,861100
2016-12-13,4.750000,5.020000,4.750000,4.970000,4.970000,1393500
2016-12-14,4.920000,4.970000,4.880000,4.940000,4.940000,683400
2016-12-15,4.950000,5.130000,4.900000,5.100000,5.100000,1136000
2016-12-16,5.150000,5.200000,5.010000,5.030000,5.030000,3894800
2016-12-19,5.050000,5.100000,4.920000,5.020000,5.020000,665600
2016-12-20,5.060000,5.150000,5.000000,5.040000,5.040000,505800
2016-12-21,5.100000,5.130000,5.000000,5.030000,5.030000,636700
2016-12-22,5.050000,5.080000,4.910000,4.920000,4.920000,617300
2016-12-23,4.910000,5.020000,4.910000,5.000000,5.000000,442200
2016-12-27,5.050000,5.180000,5.000000,5.060000,5.060000,577500
2016-12-28,5.080000,5.130000,5.000000,5.050000,5.050000,468600
2016-12-29,5.040000,5.090000,4.990000,5.050000,5.050000,494200
