Date,Open,High,Low,Close,Adj Close,Volume
2016-10-04,77.180000,77.680000,76.150002,76.440002,75.677322,1813800
2016-10-05,78.510002,79.239998,76.550003,79.040001,78.251389,2975200
2016-10-06,78.919998,79.089996,77.489998,78.980003,78.191986,1406200
2016-10-07,78.980003,79.000000,75.180000,76.010002,75.251617,2157800
2016-10-10,76.160004,77.080002,75.489998,75.599998,74.845726,1242700
2016-10-11,75.599998,75.599998,73.120003,73.699997,72.964676,1598300
2016-10-12,73.650002,74.169998,73.059998,73.809998,73.073563,1082500
2016-10-13,73.220001,73.680000,72.139999,73.349998,72.618149,919400
2016-10-14,73.830002,74.400002,73.010002,73.040001,72.311249,927100
2016-10-17,72.839996,73.470001,72.839996,73.010002,72.281555,684300
2016-10-18,73.949997,74.690002,73.410004,74.209999,73.469574,766400
2016-10-19,74.250000,74.519997,74.150002,74.370003,73.627991,652100
2016-10-20,74.260002,74.440002,73.510002,73.589996,72.855774,888300
2016-10-21,73.029999,73.120003,72.529999,72.879997,72.152863,933800
2016-10-24,73.449997,74.260002,73.410004,74.059998,73.321091,886500
2016-10-25,74.059998,74.059998,72.779999,73.269997,72.538948,645600
2016-10-26,72.889999,74.760002,72.889999,73.660004,72.925064,850800
2016-10-27,73.910004,74.330002,72.389999,72.470001,71.746948,703700
2016-10-28,72.580002,73.720001,72.370003,72.589996,71.865738,953000
2016-10-31,72.900002,73.150002,72.279999,72.519997,71.796432,847400
2016-11-01,72.879997,73.180000,71.050003,71.750000,71.034142,1137600
2016-11-02,71.550003,71.790001,70.550003,70.629997,69.925293,925000
2016-11-03,70.910004,70.910004,70.199997,70.480003,69.776802,741200
2016-11-04,71.250000,71.889999,70.599998,70.809998,70.103500,1129200
2016-11-07,72.089996,72.120003,71.320000,71.820000,71.103416,1044900
2016-11-08,71.500000,72.910004,71.080002,72.629997,71.915344,969000
2016-11-09,70.430000,72.949997,70.430000,72.809998,72.093590,1104800
2016-11-10,73.220001,73.580002,70.139999,70.930000,70.232086,1750900
2016-11-11,70.790001,71.010002,69.410004,69.489998,68.806252,1643400
2016-11-14,69.739998,69.989998,66.239998,66.570000,65.914970,3170000
2016-11-15,65.300003,69.010002,64.629997,68.050003,67.380417,3117100
2016-11-16,67.989998,70.050003,67.949997,69.940002,69.251823,1912100
2016-11-17,70.330002,70.489998,69.180000,69.760002,69.073593,1119500
2016-11-18,69.930000,70.839996,69.650002,70.709999,70.014252,1236000
2016-11-21,70.940002,72.059998,70.790001,71.989998,71.281647,1126800
2016-11-22,71.970001,72.239998,70.760002,71.720001,71.014305,876500
2016-11-23,71.459999,72.139999,71.089996,72.089996,71.380653,865400
2016-11-25,71.930000,72.169998,71.839996,72.089996,71.380653,227900
2016-11-28,72.139999,72.339996,71.440002,71.540001,70.836060,1110700
2016-11-29,71.599998,71.779999,70.449997,70.589996,69.895409,1119200
2016-11-30,70.959999,71.110001,68.550003,68.550003,67.875488,1452200
2016-12-01,68.900002,68.940002,65.910004,66.419998,65.766457,2428700
2016-12-02,66.389999,68.250000,66.080002,68.129997,67.459648,1684600
2016-12-05,68.529999,70.050003,68.529999,69.730003,69.043884,1686500
2016-12-06,70.129997,70.309998,69.220001,69.900002,69.212219,1416600
2016-12-07,70.199997,70.980003,69.279999,70.870003,70.172691,1064400
2016-12-08,70.779999,71.860001,70.139999,71.779999,71.073715,961500
2016-12-09,71.669998,72.239998,71.459999,72.190002,71.479691,1174200
2016-12-12,71.709999,72.620003,71.019997,71.239998,70.539040,1096000
2016-12-13,71.510002,72.489998,71.510002,71.849998,71.143044,1045700
2016-12-14,71.849998,72.169998,71.180000,71.459999,70.756866,1102100
2016-12-15,71.220001,72.089996,70.599998,70.629997,69.935043,1085300
2016-12-16,70.919998,70.919998,69.970001,70.290001,69.598389,1741900
2016-12-19,70.470001,71.400002,70.470001,70.779999,70.083565,958100
2016-12-20,71.370003,71.629997,70.919998,71.419998,70.717270,1097000
2016-12-21,71.540001,71.709999,70.480003,70.870003,70.172691,931500
2016-12-22,70.769997,70.769997,69.769997,70.029999,69.340935,705200
2016-12-23,70.199997,70.419998,69.910004,70.300003,69.608284,600900
2016-12-27,70.489998,70.839996,70.220001,70.730003,70.034058,496700
2016-12-28,70.720001,70.849998,69.330002,69.669998,68.984489,894400
2016-12-29,69.800003,69.949997,69.169998,69.820000,69.132988,1022300
2016-12-30,69.900002,69.930000,68.980003,69.410004,68.727043,941100
2017-01-03,69.980003,70.949997,69.040001,70.500000,69.806320,1640300
2017-01-04,70.690002,73.129997,70.440002,73.129997,72.410439,1769700
2017-01-05,72.769997,73.940002,72.769997,73.419998,72.697601,1741400
2017-01-06,73.550003,74.610001,73.220001,74.449997,73.717445,1581600
2017-01-09,78.400002,80.879997,78.059998,79.790001,79.004906,3860200
2017-01-10,80.260002,80.449997,77.860001,77.879997,77.113686,2196700
2017-01-11,77.330002,78.410004,77.209999,78.230003,77.460243,1330000
